LSM_COD;LSM_COD_LIB;TEC_COL
0;SANS OBJET;2
11;BOURGENBRESSE;0
21;LAON;0
22;SAINTQUENTIN;0
31;MOULINS;0
41;DIGNE;0
51;GAP;0
61;NICE;0
71;ANNONAY;0
72;PRIVAS;0
81;CHARLEVILLEMEZIERES;0
91;FOIX;0
101;TROYES;0
111;CARCASSONNE;0
121;RODEZ;0
131;MARSEILLE;0
141;CAEN;0
151;AURILLAC;0
161;ANGOULEME;0
171;LAROCHELLE;0
181;BOURGES;0
191;TULLE;0
201;AJACCIO;0
202;BASTIA;0
211;DIJON;0
221;SAINTBRIEUC;0
231;GUERET;0
241;PERIGUEUX;0
251;BESANCON;0
252;MONTBELIARD;0
261;VALENCE;0
271;EVREUX;0
281;CHARTRES;0
291;BREST;0
292;QUIMPER;0
301;NIMES;0
311;TOULOUSE;0
321;AUCH;0
331;BORDEAUX;0
341;BEZIERS;0
342;MONTPELLIER;0
351;RENNES;0
361;CHATEAUROUX;0
371;TOURS;0
381;GRENOBLE;0
382;VIENNE;0
391;LONSLESAUNIER;0
401;MONTMARSAN;0
411;BLOIS;0
421;ROANNE;0
422;SAINTETIENNE;0
431;LEPUY;0
441;NANTES;0
442;SAINTNAZAIRE;0
451;ORLEANS;0
461;CAHORS;0
471;AGEN;0
481;MENDE;0
491;ANGERS;0
492;CHOLET;0
501;SAINTLO;0
511;REIMS;0
521;CHAUMONT;0
531;LAVAL;0
541;LONGWY;0
542;NANCY;0
551;BARLEDUC;0
561;VANNES;0
571;METZ;0
572;SARREGUEMINES;0
573;THIONVILLE;0
581;NEVERS;0
591;ARMENTIERES;0
592;CAMBRAI;0
593;DOUAI;0
594;DUNKERQUE;0
595;LILLE;0
596;MAUBEUGE;0
597;ROUBAIX;0
598;TOURCOING;0
599;VALENCIENNES;0
601;BEAUVAIS;0
602;CREIL;0
611;ALENCON;0
621;ARRAS;0
622;BOULOGNESURMER;0
623;CALAIS;0
624;LENS;0
631;CLERMONTFD;0
641;BAYONNE;0
642;PAU;0
651;TARBES;0
661;PERPIGNAN;0
671;HAGUENAU;0
672;SELESTAT;0
673;STRASBOURG;0
681;COLMAR;0
682;MULHOUSE;0
691;LYON;0
692;VILLEFRANCHESURSAONE;0
701;VESOUL;0
711;MACON;0
721;LEMANS;0
731;CHAMBERY;0
741;ANNECY;0
751;PARIS;0
761;DIEPPE;0
762;ELBEUF;0
763;LEHAVRE;0
764;ROUEN;0
771;MELUN;0
781;VERSAILLES;0
791;NIORT;0
801;AMIENS;0
811;ALBI;0
821;MONTAUBAN;0
831;TOULON;0
841;AVIGNON;0
851;LAROCHESURYON;0
861;POITIERS;0
871;LIMOGES;0
881;EPINAL;0
891;AUXERRE;0
901;BELFORT;0
911;EVRY;0
921;NANTERRE;0
931;BOBIGNY;0
941;CRETEIL;0
951;CERGYPONTOISE;0
971;GUADELOUPE;0
972;MARTINIQUE;0
973;GUYANE;0
974;REUNION;0
999;VALEUR INCONNUE;1
225;CANSSM;0
